number,name,name_origin,link,score,quote
211,终结者2：审判日,?/?Terminator 2: Judgment Day,https://movie.douban.com/subject/1291844/,8.6,少见的超越首部的续集，动作片中的经典。
212,源代码,?/?Source Code,https://movie.douban.com/subject/3075287/,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
213,爱在午夜降临前,?/?Before Midnight,https://movie.douban.com/subject/10808442/,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
214,步履不停,?/?歩いても 歩いても,https://movie.douban.com/subject/2222996/,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
215,新龙门客栈,?/?新龍門客棧,https://movie.douban.com/subject/1292287/,8.5,嬉笑怒骂，调风动月。
216,小萝莉的猴神大叔,?/?Bajrangi Bhaijaan,https://movie.douban.com/subject/26393561/,8.5,宝莱坞的萝莉与大叔。
217,奇迹男孩,?/?Wonder,https://movie.douban.com/subject/26787574/,8.6,世界不完美，爱会有奇迹。
218,一次别离,?/?????? ???? ?? ?????,https://movie.douban.com/subject/5964718/,8.7,只有有信仰的人才能说出事实真相。
219,追随,?/?Following,https://movie.douban.com/subject/1397546/,8.9,诺兰的牛逼来源于内心散发出的恐惧。
220,再次出发之纽约遇见你,?/?Begin Again,https://movie.douban.com/subject/6874403/,8.5,爱我就给我看你的播放列表。
221,无耻混蛋,?/?Inglourious Basterds,https://movie.douban.com/subject/1438652/,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。
222,撞车,?/?Crash,https://movie.douban.com/subject/1388216/,8.6,天使与魔鬼的冲撞。
223,东京物语,?/?東京物語,https://movie.douban.com/subject/1291568/,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
